Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
2,59,26,A.E.K. F.C.,60,435,1/7.3,36,1170,1008,353,374,55,2,2,2023-2024
5,42,26,ARIS F.C.,39,315,1/8.1,19,1219,1093,413,374,59,0,0,2023-2024
7,31,26,ASTERAS TRIPOLI F.C.,36,252,1/7.0,29,995,914,337,389,71,0,5,2023-2024
8,28,26,ATROMITOS F.C. ATHENS,29,236,1/8.1,17,790,1076,365,392,71,4,6,2023-2024
13,19,26,VOLOS N.F.C.,24,231,1/9.6,11,641,852,406,460,89,1,4,2023-2024
11,21,26,A.E. KIFISIA,31,279,1/9.0,16,636,971,381,401,86,2,6,2023-2024
6,34,26,PAS LAMIA 1964 F.C.,35,242,1/6.9,19,719,917,410,367,72,1,2,2023-2024
3,57,26,OLYMPIACOS F.C.,58,414,1/7.1,29,1313,1067,277,391,59,1,2,2023-2024
10,25,26,O.F.I. F.C.,26,285,1/11.0,15,1078,1019,378,424,87,0,0,2023-2024
4,56,26,PANATHINAIKOS F.C.,62,357,1/5.8,43,1171,1085,357,384,47,2,3,2023-2024
12,20,26,PANETOLIKOS F.C.,26,275,1/10.6,14,837,944,383,390,71,1,3,2023-2024
9,27,26,PANSERRAIKOS 1946 F.C.,28,250,1/8.9,14,854,1080,410,395,86,4,6,2023-2024
1,60,26,P.A.O.K. F.C.,66,341,1/5.2,42,1469,1123,344,304,51,0,0,2023-2024
14,18,26,PAS GIANNINA F.C.,25,262,1/10.5,17,705,1015,362,363,83,1,4,2023-2024
