Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
2,59,26,A.E.K. F.C.,51,437,1/8.6,35,1562,1012,367,447,50,0,0,2022-2023
5,40,26,ARIS F.C.,38,312,1/8.2,27,1388,1136,417,365,49,2,4,2022-2023
10,25,26,ASTERAS TRIPOLI F.C.,19,209,1/11.0,12,1338,1024,324,369,72,1,4,2022-2023
8,29,26,ATROMITOS F.C. ATHENS,25,234,1/9.4,19,1007,1131,357,312,63,1,3,2022-2023
6,39,26,VOLOS N.F.C.,31,214,1/6.9,17,947,1002,395,398,66,1,3,2022-2023
12,18,26,IONIKOS F.C.,16,215,1/13.4,8,1086,1190,396,434,81,1,5,2022-2023
13,17,26,PAS LAMIA 1964 F.C.,13,227,1/17.5,7,975,1011,405,446,62,3,4,2022-2023
14,17,26,LEVADIAKOS F.C.,14,197,1/14.1,4,832,1077,386,393,67,0,3,2022-2023
3,56,26,OLYMPIACOS F.C.,53,355,1/6.7,37,1489,1160,323,371,50,0,2,2022-2023
9,26,26,O.F.I. F.C.,23,235,1/10.2,17,1351,1160,338,436,72,1,2,2022-2023
1,61,26,PANATHINAIKOS F.C.,38,320,1/8.4,17,1426,1135,409,357,45,0,2,2022-2023
7,29,26,PANETOLIKOS F.C.,26,183,1/7.0,17,799,973,375,397,59,1,2,2022-2023
4,54,26,P.A.O.K. F.C.,43,310,1/7.2,29,1498,1115,340,385,55,2,2,2022-2023
11,23,26,PAS GIANNINA,24,218,1/9.1,18,953,1144,400,353,54,0,1,2022-2023
