Position,Points,Games,team,Goals,Shots,Goals/Shots,Assist,Passes,Turnover,Fouls suffered,Fouls made,Yellow cards,Red cards,Sent offs,season
2.0,62.0,30.0,A.E.K. F.C.,60.0,490.0,1/8.2,45.0,1714.0,1168.0,542.0,584.0,78.0,1.0,2.0,2006-2007
15.0,28.0,30.0,EGALEO F.C.,27.0,341.0,1/12.6,12.0,1241.0,1146.0,574.0,627.0,80.0,0.0,0.0,2006-2007
12.0,35.0,29.0,APOLLON KALAMARIA,25.0,309.0,1/12.4,19.0,940.0,854.0,568.0,637.0,98.0,2.0,4.0,2006-2007
4.0,46.0,30.0,ARIS F.C.,32.0,341.0,1/10.7,20.0,1254.0,1172.0,651.0,558.0,90.0,1.0,4.0,2006-2007
8.0,40.0,30.0,ATROMITOS F.C. ATHENS,40.0,334.0,1/8.4,25.0,1541.0,1147.0,588.0,691.0,98.0,1.0,6.0,2006-2007
9.0,39.0,30.0,ERGOTELIS F.C.,30.0,368.0,1/12.3,20.0,1548.0,1283.0,701.0,646.0,87.0,0.0,8.0,2006-2007
13.0,35.0,30.0,IRAKLIS F.C.,24.0,283.0,1/11.8,17.0,1235.0,1179.0,591.0,572.0,75.0,3.0,6.0,2006-2007
16.0,4.0,30.0,IONIKOS,16.0,309.0,1/19.3,8.0,1207.0,1148.0,510.0,680.0,77.0,3.0,6.0,2006-2007
14.0,35.0,30.0,KERKYRA F.C.,34.0,342.0,1/10.1,18.0,1214.0,1149.0,712.0,637.0,103.0,1.0,10.0,2006-2007
10.0,36.0,30.0,A.E.L. F.C.,30.0,321.0,1/10.7,21.0,1242.0,1002.0,534.0,636.0,83.0,1.0,2.0,2006-2007
1.0,71.0,30.0,OLYMPIACOS F.C.,62.0,481.0,1/7.8,38.0,1901.0,1303.0,520.0,446.0,51.0,2.0,5.0,2006-2007
7.0,42.0,30.0,O.F.I. F.C.,41.0,306.0,1/7.5,24.0,1775.0,1405.0,597.0,717.0,98.0,2.0,8.0,2006-2007
6.0,45.0,30.0,P.A.O.K. F.C.,32.0,328.0,1/10.3,21.0,1240.0,973.0,592.0,629.0,98.0,1.0,5.0,2006-2007
3.0,54.0,29.0,PANATHINAIKOS F.C.,44.0,416.0,1/9.5,26.0,1542.0,1224.0,543.0,541.0,74.0,2.0,3.0,2006-2007
5.0,45.0,30.0,PANIONIOS F.C.,33.0,392.0,1/11.9,17.0,1528.0,1207.0,562.0,581.0,63.0,0.0,0.0,2006-2007
11.0,36.0,30.0,SKODA XANTHI F.C.,24.0,321.0,1/13.4,15.0,1458.0,1026.0,538.0,536.0,82.0,1.0,5.0,2006-2007
2.0,68.0,30.0,A.E.K. F.C.,65.0,425.0,1/6.5,35.0,1611.0,1237.0,559.0,653.0,83.0,3.0,4.0,2007-2008
16.0,22.0,30.0,APOLLON KALAMARIA,28.0,345.0,1/12.3,19.0,911.0,916.0,571.0,651.0,105.0,2.0,5.0,2007-2008
4.0,50.0,30.0,ARIS F.C.,33.0,337.0,1/10.2,15.0,1342.0,1042.0,601.0,537.0,76.0,1.0,5.0,2007-2008
7.0,44.0,30.0,ASTERAS TRIPOLIS F.C.,28.0,282.0,1/10.1,22.0,1208.0,1089.0,646.0,711.0,106.0,0.0,7.0,2007-2008
14.0,29.0,30.0,ATROMITOS F.C. ATHENS,23.0,305.0,1/13.3,14.0,1541.0,1417.0,568.0,661.0,109.0,3.0,8.0,2007-2008
15.0,23.0,30.0,VERIA,21.0,269.0,1/12.8,16.0,1053.0,914.0,571.0,574.0,85.0,3.0,7.0,2007-2008
13.0,30.0,30.0,ERGOTELIS F.C.,28.0,350.0,1/12.5,15.0,1255.0,1261.0,660.0,550.0,76.0,2.0,3.0,2007-2008
10.0,35.0,30.0,IRAKLIS F.C.,28.0,269.0,1/9.6,16.0,1019.0,1076.0,632.0,608.0,103.0,1.0,2.0,2007-2008
6.0,45.0,30.0,A.E.L. F.C.,35.0,363.0,1/10.4,18.0,1301.0,1043.0,585.0,659.0,100.0,4.0,7.0,2007-2008
11.0,33.0,30.0,LEVADIAKOS F.C.,31.0,311.0,1/10.0,15.0,1136.0,1186.0,625.0,562.0,76.0,3.0,6.0,2007-2008
1.0,70.0,30.0,OLYMPIACOS F.C.,55.0,442.0,1/8.0,31.0,1799.0,1210.0,532.0,532.0,67.0,0.0,6.0,2007-2008
12.0,32.0,30.0,O.F.I. F.C.,39.0,346.0,1/8.9,24.0,1379.0,1289.0,516.0,708.0,97.0,4.0,6.0,2007-2008
9.0,35.0,30.0,P.A.O.K. F.C.,29.0,305.0,1/10.5,16.0,1373.0,1037.0,575.0,619.0,78.0,0.0,2.0,2007-2008
3.0,66.0,30.0,PANATHINAIKOS F.C.,44.0,486.0,1/11.0,22.0,1692.0,1219.0,622.0,591.0,66.0,0.0,1.0,2007-2008
